date,hometeam,awayteam,home,away
15 Jul 23,Australia,Argentina,31,34
13 Aug 22,Argentina,Australia,48,17
06 Aug 22,Argentina,Australia,26,41
02 Oct 21,Argentina,Australia,17,32
25 Sep 21,Australia,Argentina,27,8
06 Nov 22,England,Argentina,29,30
05 Oct 19,England,Argentina,39,10
11 Nov 17,England,Argentina,21,8
17 Jun 17,Argentina,England,25,35
10 Jun 17,Argentina,England,34,38
10 Nov 18,Ireland,Argentina,28,17
25 Nov 17,Ireland,Argentina,28,19
05 Nov 16,Japan,Argentina,20,54
21 Sep 19,France,Argentina,23,21
17 Nov 18,France,Argentina,28,13
25 Jun 16,Argentina,France,0,27
19 Jun 16,Argentina,France,30,19
22 Nov 14,France,Argentina,13,18
24 Jun 17,Argentina,Georgia,45,29
18 Nov 17,Italy,Argentina,15,31
11 Jun 16,Argentina,Italy,30,24
14 Nov 14,Italy,Argentina,18,20
08 Jul 23,Argentina,New Zealand,12,41
03 Sep 22,New Zealand,Argentina,53,3
27 Aug 22,New Zealand,Argentina,18,25
18 Sep 21,Argentina,New Zealand,13,36
12 Sep 21,New Zealand,Argentina,39,0
19 Nov 22,Scotland,Argentina,52,29
16 Jul 22,Argentina,Scotland,34,31
09 Jul 22,Argentina,Scotland,6,29
02 Jul 22,Argentina,Scotland,26,18
24 Nov 18,Scotland,Argentina,14,9
05 Aug 23,Argentina,South Africa,13,24
29 Jul 23,South Africa,Argentina,22,21
24 Sep 22,South Africa,Argentina,38,21
17 Sep 22,Argentina,South Africa,20,36
21 Aug 21,Argentina,South Africa,10,29
28 Sep 19,Argentina,Tonga,28,12
12 Nov 22,Wales,Argentina,20,13
17 Jul 21,Argentina,Wales,33,11
10 Jul 21,Argentina,Wales,20,20
16 Jun 18,Argentina,Wales,12,30
09 Jun 18,Argentina,Wales,10,23
16 Jul 22,Australia,England,17,21
09 Jul 22,Australia,England,17,25
02 Jul 22,Australia,England,30,28
19 Oct 19,England,Australia,40,16
24 Nov 18,England,Australia,37,18
19 Nov 22,Ireland,Australia,13,10
23 Jun 18,Australia,Ireland,16,20
16 Jun 18,Australia,Ireland,21,26
09 Jun 18,Australia,Ireland,18,9
26 Nov 16,Ireland,Australia,27,24
04 Nov 17,Japan,Australia,30,63
